,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PercentAmplitude,PeriodLS
4454,0.193,4.2e-05,4,0.252427,-0.105,0.000171,0.047257,13.816573000000002,0.007640000000000002,0.05,0.533981,0.022179,1.014728
4455,0.0215,0.06892899999999999,2,0.313333,-0.0075,4e-06,0.07202,14.65921,0.000763,0.006999999999999999,0.503333,0.003683,21.985989
4456,0.0165,0.012057,2,0.336667,0.0,-1e-06,0.414079,15.18512,0.0005650000000000001,0.005,0.506667,0.001844,15.623075
4457,0.097,0.000656,4,0.336538,-0.035,-0.0001,0.167442,13.132827,0.003994,0.0265,0.442308,0.009511,50.380704
4458,0.062,0.008524,4,0.390533,-0.01,-1.1e-05,0.167224,14.903012,0.002372,0.029,0.325444,0.0054340000000000005,24.264291
4459,0.2755,0.0,1,0.303333,0.299,1.1e-05,1.189408,13.488443,0.011558,0.095,0.286667,0.032714,2.45654
4460,0.041,0.14238199999999998,4,0.356667,0.01,-1e-05,0.207039,14.55642,0.0015,0.0155,0.433333,0.004535,1593.290169
4461,0.0145,0.009088,1,0.323529,0.009000000000000001,-1e-06,0.248928,12.928265,0.0006580000000000001,0.006,0.372549,0.002398,0.989545
4462,0.019,0.0,6,0.28,0.009000000000000001,-0.001,4.393064,12.620083,0.000731,0.005,0.453333,0.00206,0.48875
4463,0.04,1e-06,10,0.27,-0.0175,-9e-06,0.432113,14.866577,0.001313,0.011,0.52,0.005044,299.93184
4464,0.174,0.0,1,0.477941,-0.115,0.000115,1.861494,17.283058999999998,0.006652,0.0885,0.213235,0.016434999999999998,0.776249
4465,0.016,0.30281,2,0.294737,0.006,-1.3e-05,0.25413,13.018358,0.000596,0.005,0.305263,0.00169,12.053845
4466,0.0175,0.15049400000000002,1,0.323333,-0.002,7.000000000000002e-06,0.657439,13.542947,0.0006389999999999999,0.0055,0.48,0.00203,1416.9405800000004
4467,0.1295,0.426362,5,0.333333,-0.006999999999999999,1e-05,0.03639,13.663503,0.0052,0.0515,0.366667,0.013798,1.017154
4468,0.31225,0.0,1,0.356643,-0.251,-0.00016299999999999998,6.0126040000000005,16.723741,0.010797,0.12,0.272727,0.028277,1.601796
4469,0.04325,0.5152329999999999,5,0.309434,0.0095,-6e-06,0.166323,14.421242,0.001511,0.016,0.392453,0.004092,512.915561
4470,0.1105,0.002945,5,0.336667,0.037000000000000005,-1.1e-05,0.218341,14.230017000000002,0.004062,0.038,0.413333,0.011914,436.81695
4471,0.0265,0.14022,3,0.3,0.002,-5e-06,0.019724,15.269413,0.000913,0.009000000000000001,0.483333,0.003012,0.994684
4472,0.1885,0.0,1,0.364548,0.0575,-4.6e-05,7.2309800000000015,18.601117,0.0058130000000000005,0.09,0.244147,0.013928,0.658363
4473,0.289,0.0,1,0.47,-0.221,9e-06,2.944269,16.37752,0.010935,0.134,0.173333,0.02491,1.545433
4474,0.0135,0.101508,1,0.323333,-0.003,0.0,0.010329,15.383443,0.000492,0.0055,0.48,0.002178,1451.9344199999996
